State/Territory,Rank,Dog Name,Handle,Platform,Followers,Engagement Rate (%),Verified,URL,Bio
Alabama,1,Cooper the Alabama Dog,@cooper_a_instagram,Instagram,1417957,6.06,No,https://instagram.com/cooper_a,Famous dog influencer from Alabama | Instagram Star
American Samoa,5,Bentley the American Dog,@bentley_as_youtube,YouTube,163635,4.15,Yes,https://youtube.com/bentley_as,Famous dog influencer from American Samoa | YouTube Star
Arizona,1,Daisy the Arizona Dog,@daisy_a_tiktok,TikTok,1363534,4.83,Yes,https://tiktok.com/daisy_a,Famous dog influencer from Arizona | TikTok Star
Arizona,2,Charlie the Arizona Dog,@charlie_a_instagram,Instagram,1185741,3.06,Yes,https://instagram.com/charlie_a,Famous dog influencer from Arizona | Instagram Star
Arizona,3,Charlie the Arizona Dog,@charlie_a_youtube,YouTube,1149383,2.73,No,https://youtube.com/charlie_a,Famous dog influencer from Arizona | YouTube Star
Arizona,4,Sophie the Arizona Dog,@sophie_a_instagram,Instagram,869240,2.98,No,https://instagram.com/sophie_a,Famous dog influencer from Arizona | Instagram Star
Arizona,5,Buddy the Arizona Dog,@buddy_a_instagram,Instagram,777502,4.78,No,https://instagram.com/buddy_a,Famous dog influencer from Arizona | Instagram Star
Arkansas,1,Stella the Arkansas Dog,@stella_a_instagram,Instagram,1434989,5.02,Yes,https://instagram.com/stella_a,Famous dog influencer from Arkansas | Instagram Star
Arkansas,2,Bella the Arkansas Dog,@bella_a_instagram,Instagram,1006341,5.92,Yes,https://instagram.com/bella_a,Famous dog influencer from Arkansas | Instagram Star
Arkansas,3,Tucker the Arkansas Dog,@tucker_a_youtube,YouTube,775592,3.29,Yes,https://youtube.com/tucker_a,Famous dog influencer from Arkansas | YouTube Star
Arkansas,4,Oliver the Arkansas Dog,@oliver_a_tiktok,TikTok,366063,8.23,Yes,https://tiktok.com/oliver_a,Famous dog influencer from Arkansas | TikTok Star
Arkansas,5,Max the Arkansas Dog,@max_a_youtube,YouTube,67504,6.56,Yes,https://youtube.com/max_a,Famous dog influencer from Arkansas | YouTube Star
California,1,Sadie the California Dog,@sadie_c_instagram,Instagram,1225036,5.02,Yes,https://instagram.com/sadie_c,Famous dog influencer from California | Instagram Star
California,2,Leo the California Dog,@leo_c_tiktok,TikTok,1121419,3.91,Yes,https://tiktok.com/leo_c,Famous dog influencer from California | TikTok Star
California,3,Duke the California Dog,@duke_c_youtube,YouTube,306636,7.6,Yes,https://youtube.com/duke_c,Famous dog influencer from California | YouTube Star
California,4,Milo the California Dog,@milo_c_tiktok,TikTok,212242,3.93,No,https://tiktok.com/milo_c,Famous dog influencer from California | TikTok Star
California,5,Luna the California Dog,@luna_c_tiktok,TikTok,50000,7.82,Yes,https://tiktok.com/luna_c,Famous dog influencer from California | TikTok Star
Colorado,1,Cooper the Colorado Dog,@cooper_c_youtube,YouTube,1665854,7.35,Yes,https://youtube.com/cooper_c,Famous dog influencer from Colorado | YouTube Star
Colorado,2,Oliver the Colorado Dog,@oliver_c_tiktok,TikTok,1331196,5.82,No,https://tiktok.com/oliver_c,Famous dog influencer from Colorado | TikTok Star
Colorado,3,Leo the Colorado Dog,@leo_c_instagram,Instagram,681124,7.32,No,https://instagram.com/leo_c,Famous dog influencer from Colorado | Instagram Star
Colorado,4,Sophie the Colorado Dog,@sophie_c_tiktok,TikTok,211209,4.58,No,https://tiktok.com/sophie_c,Famous dog influencer from Colorado | TikTok Star
Colorado,5,Bella the Colorado Dog,@bella_c_tiktok,TikTok,50000,8.11,Yes,https://tiktok.com/bella_c,Famous dog influencer from Colorado | TikTok Star
Connecticut,1,Zoey the Connecticut Dog,@zoey_c_tiktok,TikTok,1154566,6.36,Yes,https://tiktok.com/zoey_c,Famous dog influencer from Connecticut | TikTok Star
Connecticut,2,Buddy the Connecticut Dog,@buddy_c_youtube,YouTube,924251,5.69,Yes,https://youtube.com/buddy_c,Famous dog influencer from Connecticut | YouTube Star
Connecticut,3,Daisy the Connecticut Dog,@daisy_c_youtube,YouTube,633006,3.14,No,https://youtube.com/daisy_c,Famous dog influencer from Connecticut | YouTube Star
Connecticut,4,Molly the Connecticut Dog,@molly_c_instagram,Instagram,568606,7.53,Yes,https://instagram.com/molly_c,Famous dog influencer from Connecticut | Instagram Star
Connecticut,5,Bentley the Connecticut Dog,@bentley_c_tiktok,TikTok,249865,8.37,No,https://tiktok.com/bentley_c,Famous dog influencer from Connecticut | TikTok Star
Delaware,1,Zoey the Delaware Dog,@zoey_d_tiktok,TikTok,1550331,6.06,Yes,https://tiktok.com/zoey_d,Famous dog influencer from Delaware | TikTok Star
Delaware,2,Daisy the Delaware Dog,@daisy_d_instagram,Instagram,1308610,6.13,Yes,https://instagram.com/daisy_d,Famous dog influencer from Delaware | Instagram Star
Delaware,3,Buddy the Delaware Dog,@buddy_d_tiktok,TikTok,878251,6.42,No,https://tiktok.com/buddy_d,Famous dog influencer from Delaware | TikTok Star
Delaware,4,Leo the Delaware Dog,@leo_d_instagram,Instagram,793830,2.7,No,https://instagram.com/leo_d,Famous dog influencer from Delaware | Instagram Star
Delaware,5,Zeus the Delaware Dog,@zeus_d_youtube,YouTube,166069,5.49,No,https://youtube.com/zeus_d,Famous dog influencer from Delaware | YouTube Star
District of Columbia,1,Charlie the District Dog,@charlie_do_instagram,Instagram,1863928,5.33,No,https://instagram.com/charlie_do,Famous dog influencer from District of Columbia | Instagram Star
District of Columbia,2,Oliver the District Dog,@oliver_do_youtube,YouTube,1261517,7.34,Yes,https://youtube.com/oliver_do,Famous dog influencer from District of Columbia | YouTube Star
District of Columbia,3,Tucker the District Dog,@tucker_do_instagram,Instagram,752910,2.68,Yes,https://instagram.com/tucker_do,Famous dog influencer from District of Columbia | Instagram Star
District of Columbia,4,Tucker the District Dog,@tucker_do_youtube,YouTube,721408,4.42,Yes,https://youtube.com/tucker_do,Famous dog influencer from District of Columbia | YouTube Star
District of Columbia,5,Charlie the District Dog,@charlie_do_instagram,Instagram,50000,6.99,Yes,https://instagram.com/charlie_do,Famous dog influencer from District of Columbia | Instagram Star
Florida,1,Max the Florida Dog,@max_f_instagram,Instagram,1602415,3.78,No,https://instagram.com/max_f,Famous dog influencer from Florida | Instagram Star
Florida,2,Penny the Florida Dog,@penny_f_tiktok,TikTok,1064177,8.31,Yes,https://tiktok.com/penny_f,Famous dog influencer from Florida | TikTok Star
Florida,3,Molly the Florida Dog,@molly_f_instagram,Instagram,947442,6.18,No,https://instagram.com/molly_f,Famous dog influencer from Florida | Instagram Star
Florida,4,Sadie the Florida Dog,@sadie_f_youtube,YouTube,50000,2.86,Yes,https://youtube.com/sadie_f,Famous dog influencer from Florida | YouTube Star
Florida,5,Sophie the Florida Dog,@sophie_f_youtube,YouTube,50000,7.62,Yes,https://youtube.com/sophie_f,Famous dog influencer from Florida | YouTube Star
Georgia,1,Winston the Georgia Dog,@winston_g_instagram,Instagram,1441049,4.63,Yes,https://instagram.com/winston_g,Famous dog influencer from Georgia | Instagram Star
Georgia,2,Bentley the Georgia Dog,@bentley_g_youtube,YouTube,1112594,5.34,Yes,https://youtube.com/bentley_g,Famous dog influencer from Georgia | YouTube Star
Georgia,3,Bentley the Georgia Dog,@bentley_g_youtube,YouTube,581008,5.11,Yes,https://youtube.com/bentley_g,Famous dog influencer from Georgia | YouTube Star
Georgia,4,Lucy the Georgia Dog,@lucy_g_tiktok,TikTok,299515,5.35,Yes,https://tiktok.com/lucy_g,Famous dog influencer from Georgia | TikTok Star
Georgia,5,Lola the Georgia Dog,@lola_g_youtube,YouTube,50000,5.75,No,https://youtube.com/lola_g,Famous dog influencer from Georgia | YouTube Star
Guam,1,Chloe the Guam Dog,@chloe_g_youtube,YouTube,1345997,4.52,Yes,https://youtube.com/chloe_g,Famous dog influencer from Guam | YouTube Star
Guam,2,Lola the Guam Dog,@lola_g_tiktok,TikTok,856863,3.82,No,https://tiktok.com/lola_g,Famous dog influencer from Guam | TikTok Star
Guam,3,Bear the Guam Dog,@bear_g_tiktok,TikTok,471285,4.75,No,https://tiktok.com/bear_g,Famous dog influencer from Guam | TikTok Star
Guam,4,Sophie the Guam Dog,@sophie_g_tiktok,TikTok,377101,2.64,Yes,https://tiktok.com/sophie_g,Famous dog influencer from Guam | TikTok Star
Guam,5,Zoey the Guam Dog,@zoey_g_instagram,Instagram,149139,5.2,Yes,https://instagram.com/zoey_g,Famous dog influencer from Guam | Instagram Star
Hawaii,1,Oliver the Hawaii Dog,@oliver_h_instagram,Instagram,1556619,7.74,No,https://instagram.com/oliver_h,Famous dog influencer from Hawaii | Instagram Star
Hawaii,2,Lucy the Hawaii Dog,@lucy_h_tiktok,TikTok,1243062,6.18,Yes,https://tiktok.com/lucy_h,Famous dog influencer from Hawaii | TikTok Star
Hawaii,3,Bear the Hawaii Dog,@bear_h_instagram,Instagram,696803,6.82,No,https://instagram.com/bear_h,Famous dog influencer from Hawaii | Instagram Star
Hawaii,4,Zoey the Hawaii Dog,@zoey_h_tiktok,TikTok,166948,2.75,Yes,https://tiktok.com/zoey_h,Famous dog influencer from Hawaii | TikTok Star
Hawaii,5,Buddy the Hawaii Dog,@buddy_h_youtube,YouTube,122536,4.56,No,https://youtube.com/buddy_h,Famous dog influencer from Hawaii | YouTube Star
Idaho,1,Molly the Idaho Dog,@molly_i_youtube,YouTube,1321032,4.2,Yes,https://youtube.com/molly_i,Famous dog influencer from Idaho | YouTube Star
Idaho,2,Stella the Idaho Dog,@stella_i_youtube,YouTube,1012047,2.84,No,https://youtube.com/stella_i,Famous dog influencer from Idaho | YouTube Star
Idaho,3,Chloe the Idaho Dog,@chloe_i_tiktok,TikTok,321677,7.53,No,https://tiktok.com/chloe_i,Famous dog influencer from Idaho | TikTok Star
Idaho,4,Luna the Idaho Dog,@luna_i_tiktok,TikTok,250578,5.29,No,https://tiktok.com/luna_i,Famous dog influencer from Idaho | TikTok Star
Idaho,5,Daisy the Idaho Dog,@daisy_i_youtube,YouTube,50000,4.7,No,https://youtube.com/daisy_i,Famous dog influencer from Idaho | YouTube Star
Illinois,1,Max the Illinois Dog,@max_i_instagram,Instagram,1617723,4.92,Yes,https://instagram.com/max_i,Famous dog influencer from Illinois | Instagram Star
Illinois,2,Oliver the Illinois Dog,@oliver_i_tiktok,TikTok,1428220,2.93,Yes,https://tiktok.com/oliver_i,Famous dog influencer from Illinois | TikTok Star
Illinois,3,Lola the Illinois Dog,@lola_i_instagram,Instagram,1001427,3.91,No,https://instagram.com/lola_i,Famous dog influencer from Illinois | Instagram Star
Illinois,4,Lucy the Illinois Dog,@lucy_i_tiktok,TikTok,491371,3.67,Yes,https://tiktok.com/lucy_i,Famous dog influencer from Illinois | TikTok Star
Illinois,5,Leo the Illinois Dog,@leo_i_youtube,YouTube,50000,7.68,Yes,https://youtube.com/leo_i,Famous dog influencer from Illinois | YouTube Star
Indiana,1,Bentley the Indiana Dog,@bentley_i_instagram,Instagram,1438056,7.1,Yes,https://instagram.com/bentley_i,Famous dog influencer from Indiana | Instagram Star
Indiana,2,Sadie the Indiana Dog,@sadie_i_instagram,Instagram,1001084,3.81,Yes,https://instagram.com/sadie_i,Famous dog influencer from Indiana | Instagram Star
Indiana,3,Winston the Indiana Dog,@winston_i_instagram,Instagram,732299,6.46,Yes,https://instagram.com/winston_i,Famous dog influencer from Indiana | Instagram Star
Indiana,4,Charlie the Indiana Dog,@charlie_i_youtube,YouTube,657047,3.64,No,https://youtube.com/charlie_i,Famous dog influencer from Indiana | YouTube Star
Indiana,5,Bentley the Indiana Dog,@bentley_i_tiktok,TikTok,50000,4.23,Yes,https://tiktok.com/bentley_i,Famous dog influencer from Indiana | TikTok Star
Iowa,1,Luna the Iowa Dog,@luna_i_youtube,YouTube,1459098,2.64,Yes,https://youtube.com/luna_i,Famous dog influencer from Iowa | YouTube Star
Iowa,2,Bear the Iowa Dog,@bear_i_youtube,YouTube,1208457,4.15,Yes,https://youtube.com/bear_i,Famous dog influencer from Iowa | YouTube Star
Iowa,3,Molly the Iowa Dog,@molly_i_tiktok,TikTok,1070959,7.99,No,https://tiktok.com/molly_i,Famous dog influencer from Iowa | TikTok Star
Iowa,4,Stella the Iowa Dog,@stella_i_instagram,Instagram,90600,2.87,No,https://instagram.com/stella_i,Famous dog influencer from Iowa | Instagram Star
Iowa,5,Sadie the Iowa Dog,@sadie_i_youtube,YouTube,50000,4.23,Yes,https://youtube.com/sadie_i,Famous dog influencer from Iowa | YouTube Star
Kansas,1,Leo the Kansas Dog,@leo_k_instagram,Instagram,1507303,5.37,No,https://instagram.com/leo_k,Famous dog influencer from Kansas | Instagram Star
Kansas,2,Sadie the Kansas Dog,@sadie_k_tiktok,TikTok,1402105,6.7,Yes,https://tiktok.com/sadie_k,Famous dog influencer from Kansas | TikTok Star
Kansas,3,Max the Kansas Dog,@max_k_tiktok,TikTok,1061424,8.21,Yes,https://tiktok.com/max_k,Famous dog influencer from Kansas | TikTok Star
Kansas,4,Lola the Kansas Dog,@lola_k_tiktok,TikTok,924919,5.35,Yes,https://tiktok.com/lola_k,Famous dog influencer from Kansas | TikTok Star
Kansas,5,Sophie the Kansas Dog,@sophie_k_youtube,YouTube,249928,5.72,Yes,https://youtube.com/sophie_k,Famous dog influencer from Kansas | YouTube Star
Kentucky,1,Lola the Kentucky Dog,@lola_k_youtube,YouTube,814176,3.8,Yes,https://youtube.com/lola_k,Famous dog influencer from Kentucky | YouTube Star
Kentucky,2,Lola the Kentucky Dog,@lola_k_tiktok,TikTok,809838,3.71,No,https://tiktok.com/lola_k,Famous dog influencer from Kentucky | TikTok Star
Kentucky,3,Bear the Kentucky Dog,@bear_k_instagram,Instagram,732272,3.32,Yes,https://instagram.com/bear_k,Famous dog influencer from Kentucky | Instagram Star
Kentucky,4,Lola the Kentucky Dog,@lola_k_instagram,Instagram,597284,4.84,Yes,https://instagram.com/lola_k,Famous dog influencer from Kentucky | Instagram Star
Kentucky,5,Max the Kentucky Dog,@max_k_instagram,Instagram,308465,6.01,Yes,https://instagram.com/max_k,Famous dog influencer from Kentucky | Instagram Star
Louisiana,1,Penny the Louisiana Dog,@penny_l_instagram,Instagram,1416481,6.11,No,https://instagram.com/penny_l,Famous dog influencer from Louisiana | Instagram Star
Louisiana,2,Cooper the Louisiana Dog,@cooper_l_tiktok,TikTok,1070994,7.59,No,https://tiktok.com/cooper_l,Famous dog influencer from Louisiana | TikTok Star
Louisiana,3,Winston the Louisiana Dog,@winston_l_youtube,YouTube,824608,5.28,Yes,https://youtube.com/winston_l,Famous dog influencer from Louisiana | YouTube Star
Louisiana,4,Bella the Louisiana Dog,@bella_l_youtube,YouTube,348573,3.13,No,https://youtube.com/bella_l,Famous dog influencer from Louisiana | YouTube Star
Louisiana,5,Sophie the Louisiana Dog,@sophie_l_instagram,Instagram,327458,4.2,Yes,https://instagram.com/sophie_l,Famous dog influencer from Louisiana | Instagram Star
Maine,1,Luna the Maine Dog,@luna_m_tiktok,TikTok,1416187,4.45,Yes,https://tiktok.com/luna_m,Famous dog influencer from Maine | TikTok Star
Maine,2,Luna the Maine Dog,@luna_m_tiktok,TikTok,363087,6.06,No,https://tiktok.com/luna_m,Famous dog influencer from Maine | TikTok Star
Maine,3,Rocky the Maine Dog,@rocky_m_tiktok,TikTok,356340,3.4,Yes,https://tiktok.com/rocky_m,Famous dog influencer from Maine | TikTok Star
Maine,4,Zeus the Maine Dog,@zeus_m_youtube,YouTube,50000,7.12,No,https://youtube.com/zeus_m,Famous dog influencer from Maine | YouTube Star
Maine,5,Duke the Maine Dog,@duke_m_instagram,Instagram,50000,4.64,Yes,https://instagram.com/duke_m,Famous dog influencer from Maine | Instagram Star
Maryland,1,Chloe the Maryland Dog,@chloe_m_tiktok,TikTok,1311604,6.91,Yes,https://tiktok.com/chloe_m,Famous dog influencer from Maryland | TikTok Star
Maryland,2,Penny the Maryland Dog,@penny_m_tiktok,TikTok,991234,2.64,No,https://tiktok.com/penny_m,Famous dog influencer from Maryland | TikTok Star
Maryland,3,Sadie the Maryland Dog,@sadie_m_instagram,Instagram,545000,3.54,No,https://instagram.com/sadie_m,Famous dog influencer from Maryland | Instagram Star
Maryland,4,Lucy the Maryland Dog,@lucy_m_youtube,YouTube,50000,7.26,Yes,https://youtube.com/lucy_m,Famous dog influencer from Maryland | YouTube Star
Maryland,5,Sadie the Maryland Dog,@sadie_m_tiktok,TikTok,50000,6.1,Yes,https://tiktok.com/sadie_m,Famous dog influencer from Maryland | TikTok Star
Massachusetts,1,Lucy the Massachusetts Dog,@lucy_m_instagram,Instagram,1098777,3.02,No,https://instagram.com/lucy_m,Famous dog influencer from Massachusetts | Instagram Star
Massachusetts,2,Zeus the Massachusetts Dog,@zeus_m_tiktok,TikTok,847782,6.31,Yes,https://tiktok.com/zeus_m,Famous dog influencer from Massachusetts | TikTok Star
Massachusetts,3,Milo the Massachusetts Dog,@milo_m_youtube,YouTube,473669,6.16,No,https://youtube.com/milo_m,Famous dog influencer from Massachusetts | YouTube Star
Massachusetts,4,Daisy the Massachusetts Dog,@daisy_m_youtube,YouTube,50000,4.92,No,https://youtube.com/daisy_m,Famous dog influencer from Massachusetts | YouTube Star
Massachusetts,5,Charlie the Massachusetts Dog,@charlie_m_instagram,Instagram,50000,6.19,No,https://instagram.com/charlie_m,Famous dog influencer from Massachusetts | Instagram Star
Michigan,1,Winston the Michigan Dog,@winston_m_instagram,Instagram,1514900,3.5,Yes,https://instagram.com/winston_m,Famous dog influencer from Michigan | Instagram Star
Michigan,2,Sadie the Michigan Dog,@sadie_m_tiktok,TikTok,1164685,6.23,Yes,https://tiktok.com/sadie_m,Famous dog influencer from Michigan | TikTok Star
Michigan,3,Charlie the Michigan Dog,@charlie_m_instagram,Instagram,367985,8.47,No,https://instagram.com/charlie_m,Famous dog influencer from Michigan | Instagram Star
Michigan,4,Leo the Michigan Dog,@leo_m_youtube,YouTube,109933,8.23,Yes,https://youtube.com/leo_m,Famous dog influencer from Michigan | YouTube Star
Michigan,5,Buddy the Michigan Dog,@buddy_m_youtube,YouTube,50000,2.59,No,https://youtube.com/buddy_m,Famous dog influencer from Michigan | YouTube Star
Minnesota,1,Tucker the Minnesota Dog,@tucker_m_tiktok,TikTok,1428649,3.3,No,https://tiktok.com/tucker_m,Famous dog influencer from Minnesota | TikTok Star
Minnesota,2,Buddy the Minnesota Dog,@buddy_m_youtube,YouTube,1369176,4.02,No,https://youtube.com/buddy_m,Famous dog influencer from Minnesota | YouTube Star
Minnesota,3,Luna the Minnesota Dog,@luna_m_tiktok,TikTok,1000342,4.3,Yes,https://tiktok.com/luna_m,Famous dog influencer from Minnesota | TikTok Star
Minnesota,4,Molly the Minnesota Dog,@molly_m_tiktok,TikTok,652365,8.23,No,https://tiktok.com/molly_m,Famous dog influencer from Minnesota | TikTok Star
Minnesota,5,Rosie the Minnesota Dog,@rosie_m_tiktok,TikTok,50000,5.52,Yes,https://tiktok.com/rosie_m,Famous dog influencer from Minnesota | TikTok Star
Mississippi,1,Milo the Mississippi Dog,@milo_m_youtube,YouTube,1547152,5.2,Yes,https://youtube.com/milo_m,Famous dog influencer from Mississippi | YouTube Star
Mississippi,2,Winston the Mississippi Dog,@winston_m_instagram,Instagram,1359879,2.82,Yes,https://instagram.com/winston_m,Famous dog influencer from Mississippi | Instagram Star
Mississippi,3,Leo the Mississippi Dog,@leo_m_instagram,Instagram,790040,5.29,No,https://instagram.com/leo_m,Famous dog influencer from Mississippi | Instagram Star
Mississippi,4,Lola the Mississippi Dog,@lola_m_instagram,Instagram,745014,8.19,Yes,https://instagram.com/lola_m,Famous dog influencer from Mississippi | Instagram Star
Mississippi,5,Bear the Mississippi Dog,@bear_m_youtube,YouTube,416052,4.93,Yes,https://youtube.com/bear_m,Famous dog influencer from Mississippi | YouTube Star
Missouri,1,Bailey the Missouri Dog,@bailey_m_tiktok,TikTok,1082279,2.92,Yes,https://tiktok.com/bailey_m,Famous dog influencer from Missouri | TikTok Star
Missouri,2,Rocky the Missouri Dog,@rocky_m_tiktok,TikTok,922058,5.95,No,https://tiktok.com/rocky_m,Famous dog influencer from Missouri | TikTok Star
Missouri,3,Luna the Missouri Dog,@luna_m_tiktok,TikTok,181678,2.64,Yes,https://tiktok.com/luna_m,Famous dog influencer from Missouri | TikTok Star
Missouri,4,Bella the Missouri Dog,@bella_m_instagram,Instagram,106099,2.69,Yes,https://instagram.com/bella_m,Famous dog influencer from Missouri | Instagram Star
Missouri,5,Cooper the Missouri Dog,@cooper_m_tiktok,TikTok,50000,5.73,Yes,https://tiktok.com/cooper_m,Famous dog influencer from Missouri | TikTok Star
Montana,1,Oliver the Montana Dog,@oliver_m_youtube,YouTube,1168183,7.46,Yes,https://youtube.com/oliver_m,Famous dog influencer from Montana | YouTube Star
Montana,2,Bentley the Montana Dog,@bentley_m_instagram,Instagram,1010941,6.77,No,https://instagram.com/bentley_m,Famous dog influencer from Montana | Instagram Star
Montana,3,Lucy the Montana Dog,@lucy_m_youtube,YouTube,947705,5.99,No,https://youtube.com/lucy_m,Famous dog influencer from Montana | YouTube Star
Montana,4,Leo the Montana Dog,@leo_m_youtube,YouTube,568623,6.93,No,https://youtube.com/leo_m,Famous dog influencer from Montana | YouTube Star
Montana,5,Leo the Montana Dog,@leo_m_instagram,Instagram,305217,6.34,Yes,https://instagram.com/leo_m,Famous dog influencer from Montana | Instagram Star
Nebraska,1,Charlie the Nebraska Dog,@charlie_n_tiktok,TikTok,1539177,7.17,No,https://tiktok.com/charlie_n,Famous dog influencer from Nebraska | TikTok Star
Nebraska,2,Buddy the Nebraska Dog,@buddy_n_tiktok,TikTok,1435682,6.8,Yes,https://tiktok.com/buddy_n,Famous dog influencer from Nebraska | TikTok Star
Nebraska,3,Zoey the Nebraska Dog,@zoey_n_instagram,Instagram,715191,7.69,Yes,https://instagram.com/zoey_n,Famous dog influencer from Nebraska | Instagram Star
Nebraska,4,Rocky the Nebraska Dog,@rocky_n_youtube,YouTube,629772,5.62,No,https://youtube.com/rocky_n,Famous dog influencer from Nebraska | YouTube Star
Nebraska,5,Lucy the Nebraska Dog,@lucy_n_youtube,YouTube,50000,7.73,Yes,https://youtube.com/lucy_n,Famous dog influencer from Nebraska | YouTube Star
Nevada,1,Cooper the Nevada Dog,@cooper_n_tiktok,TikTok,1087675,4.6,No,https://tiktok.com/cooper_n,Famous dog influencer from Nevada | TikTok Star
Nevada,2,Rocky the Nevada Dog,@rocky_n_youtube,YouTube,1016825,2.72,Yes,https://youtube.com/rocky_n,Famous dog influencer from Nevada | YouTube Star
Nevada,3,Max the Nevada Dog,@max_n_instagram,Instagram,827316,7.0,Yes,https://instagram.com/max_n,Famous dog influencer from Nevada | Instagram Star
Nevada,4,Charlie the Nevada Dog,@charlie_n_instagram,Instagram,744453,5.33,No,https://instagram.com/charlie_n,Famous dog influencer from Nevada | Instagram Star
Nevada,5,Bella the Nevada Dog,@bella_n_tiktok,TikTok,485593,7.43,Yes,https://tiktok.com/bella_n,Famous dog influencer from Nevada | TikTok Star
New Hampshire,1,Luna the New Dog,@luna_nh_tiktok,TikTok,1600957,6.03,No,https://tiktok.com/luna_nh,Famous dog influencer from New Hampshire | TikTok Star
New Hampshire,2,Lucy the New Dog,@lucy_nh_youtube,YouTube,1413194,4.95,No,https://youtube.com/lucy_nh,Famous dog influencer from New Hampshire | YouTube Star
New Hampshire,3,Bentley the New Dog,@bentley_nh_instagram,Instagram,1369252,6.84,No,https://instagram.com/bentley_nh,Famous dog influencer from New Hampshire | Instagram Star
New Hampshire,4,Charlie the New Dog,@charlie_nh_tiktok,TikTok,97910,7.13,No,https://tiktok.com/charlie_nh,Famous dog influencer from New Hampshire | TikTok Star
New Hampshire,5,Charlie the New Dog,@charlie_nh_youtube,YouTube,50000,6.28,Yes,https://youtube.com/charlie_nh,Famous dog influencer from New Hampshire | YouTube Star
New Jersey,1,Milo the New Dog,@milo_nj_instagram,Instagram,1093447,5.25,Yes,https://instagram.com/milo_nj,Famous dog influencer from New Jersey | Instagram Star
New Jersey,2,Cooper the New Dog,@cooper_nj_youtube,YouTube,914150,4.63,No,https://youtube.com/cooper_nj,Famous dog influencer from New Jersey | YouTube Star
New Jersey,3,Buddy the New Dog,@buddy_nj_instagram,Instagram,880448,5.53,No,https://instagram.com/buddy_nj,Famous dog influencer from New Jersey | Instagram Star
New Jersey,4,Charlie the New Dog,@charlie_nj_youtube,YouTube,482153,3.42,No,https://youtube.com/charlie_nj,Famous dog influencer from New Jersey | YouTube Star
New Jersey,5,Lucy the New Dog,@lucy_nj_instagram,Instagram,310746,4.59,No,https://instagram.com/lucy_nj,Famous dog influencer from New Jersey | Instagram Star
New Mexico,1,Leo the New Dog,@leo_nm_tiktok,TikTok,1390997,7.65,No,https://tiktok.com/leo_nm,Famous dog influencer from New Mexico | TikTok Star
New Mexico,2,Bella the New Dog,@bella_nm_tiktok,TikTok,1301831,5.38,Yes,https://tiktok.com/bella_nm,Famous dog influencer from New Mexico | TikTok Star
New Mexico,3,Bentley the New Dog,@bentley_nm_youtube,YouTube,1019884,5.25,Yes,https://youtube.com/bentley_nm,Famous dog influencer from New Mexico | YouTube Star
New Mexico,4,Zoey the New Dog,@zoey_nm_tiktok,TikTok,597779,6.27,Yes,https://tiktok.com/zoey_nm,Famous dog influencer from New Mexico | TikTok Star
New Mexico,5,Bailey the New Dog,@bailey_nm_tiktok,TikTok,455297,4.63,Yes,https://tiktok.com/bailey_nm,Famous dog influencer from New Mexico | TikTok Star
