State/Territory,Name,Handle,Platform,Followers,Location,Breed,Engagement Rate (%),Verified,Profile URL,Bio,Source URL
Kentucky,Beck,@ohsnapitsbeck,Instagram,59000,"Louisville, KY",N/A (Dog Trainer),6.26,No,N/A,Certified Balanced Dog Trainer with training kit available,https://collabstr.com/top-influencers/in/united-states/kentucky/louisville
Maine,Ollie,@ollieallday,Instagram,42400,Maine,Unknown,7.8,No,N/A,"Registered therapy dog based in Maine, USA",https://afluencer.com/dog-influencers/
Massachusetts,Steven Watson - Pied Dog Walker,@dogsBestFriend,Instagram,75000,"Boston, MA",N/A (Dog Walker),5.9,No,N/A,"The Pied Dog Walker, Dog's Best Friend dog walking service, went viral after 2021 photo on Longfellow bridge",https://www.wcvb.com/article/boston-based-dog-influencer-rises-in-pupularity/43127146
Michigan,Tucker Budzyn,@tuckerbudzyn,TikTok/YouTube/Instagram,11500000,Michigan,Golden Retriever,6.5,Yes,https://www.instagram.com/tuckerbudzyn/,"Seven-figure influencer with hilarious voiced-over videos, earns millions per year",https://banana1015.com/michigan-is-home-to-the-worlds-top-dog-influencer/
Minnesota,Cody Taurus & Tory,@codytaurus,TikTok/Instagram,1000000,"Minneapolis, MN",Unknown,7.3,Yes,N/A,"28-year-old creative from Minneapolis with dog Taurus, over 1 billion views",https://mspmag.com/arts-and-culture/minnesotas-insta-famous-dogs/
Minnesota,Juji,@jujithegoldendoodle,Instagram,250000,"Buffalo, MN",Goldendoodle,4.6,No,N/A,"Owner Chris Cline started Photoshopping the dog, quickly turned into Internet sensation",https://mspmag.com/arts-and-culture/minnesotas-insta-famous-dogs/
Montana,Mimi Aleta,@mimi_aleta,Instagram,28000,"Bozeman, MT",Unknown,6.4,No,N/A,"Dog mom // adventurer focusing on Adventure Travel, Mental Health, Pets & Animals",https://influence.co/go/location-search/top-us-influencers/montana/bozeman
Nevada,Las Vegas Frenchie,@lasvegasfrenchie,Instagram,15000,"Las Vegas, NV",French Bulldog,5.3,No,N/A,Content creator from Las Vegas Nevada with pet frenchie who loves to make dog content,https://collabstr.com/top-influencers/in/united-states/nevada/las-vegas
New Mexico,Claude,@claudethepwd,Instagram,12000,"Santa Fe, NM",Portuguese Water Dog,8.5,No,N/A,"Quintessential New Mexico dog who loves to hike, camp, local celebrity trading kisses for treats",https://collabstr.com/top-influencers/dog
New York,Maxine the Fluffy Corgi,@madmax_fluffyroad,Instagram,800000,"New York City, NY",Corgi,4.8,No,https://www.instagram.com/madmax_fluffyroad/,"NYC subway commuter in a backpack, inspired Little Chonk pet carrier company",https://www.boredpanda.com/corgi-maxine-subway-nyx-bryan-reisberg/
New York,Teddy,@teddythedog,Instagram,44600,"New York, NY",Unknown,2.7,No,N/A,New York-based dog photographer,https://afluencer.com/dog-influencers/
North Carolina,Chaos the Doxiepoo,@chaos_the_doxiepoo,Instagram,38000,North Carolina,Dachshund Poodle Mix,6.8,No,N/A,Dog Influencer born 11/30/23,https://www.instagram.com/chaos_the_doxiepoo/
North Carolina,Crush the Frenchie,@crush_the_frenchie,Instagram,16000,"Charlotte, NC",French Bulldog,7.2,No,N/A,Cream French Bulldog - Huge Heart in a Dapper Little Package,https://thesocialcat.com/influencers/north-carolina
Ohio,Avita,@avita_influencer,Instagram,15000,"Cincinnati, OH",Labrador Retriever,8.1,No,N/A,"5-year-old Lab, pet influencer, former service dog in training, knows 50+ commands",https://www.crainscleveland.com/small-business/dog-influencers-take-over-instagram-after-pandemic-puppy-boom
Oklahoma,Abby,@abby.pup,Instagram,59000,"Broken Arrow, OK",Mi-Ki,5.4,No,N/A,Social media influencer with striking photos by Stephen Pier using downtown Tulsa as backdrop,https://tulsaworld.com/ba-dog-has-big-instagram-following/article_856ac050-10e9-5ec3-b2a9-4a1ab80ef133.html
Oregon,Mochthecorgi,@mochthecorgi,Instagram,85000,"Portland, OR",Corgi,5.3,No,https://www.instagram.com/mochthecorgi/,Portland corgi taking the city by storm,https://portlanddogtrainer.netlify.app/blog/portland-oregon-dog-instagram-influencers/
Pennsylvania,Simon the Staffy,@simon_the_staffy,Instagram,93000,"Philadelphia, PA",Staffordshire Terrier,3.7,No,N/A,Fastest-growing Animals & Pets creator in Philadelphia on Instagram,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-animals-instagram
Puerto Rico,Celebrity Kennels,@celebrity_kennels,Instagram,82508,Puerto Rico,Various,4.7,No,N/A,Top dog influencer in Puerto Rico,https://starngage.com/plus/en/influencer/ranking/instagram/puerto-rico/dogs
South Carolina,Craig the French Bulldog,@goodboycraig,Instagram,101000,"Charleston, SC",French Bulldog,4.3,Yes,https://www.instagram.com/goodboycraig/,"Famous in his own right, owned by Shep Rose of Bravo's Southern Charm",https://charlestonmag.com/going_to_the_dogs_top_dogs_of_instagram
South Carolina,Meeko the Aussiedoodle,@ruff_life_of_meeko,Instagram,14000,"Charleston, SC",Aussiedoodle,6.9,No,https://www.instagram.com/ruff_life_of_meeko/,"Author of Meeko Goes to the Beach, product endorsements",https://charlestonmag.com/going_to_the_dogs_top_dogs_of_instagram
South Carolina,Teddy the Cavalier,@TeddytheCavalier,Instagram,125000,"Charleston, SC",Cavalier King Charles Spaniel,5.1,No,https://www.instagram.com/teddythecavalier/,"Rose to Insta fame in 2018 after split screen with Snoop Dogg sporting similar hairdos, rapper reposted",https://charlestonmag.com/going_to_the_dogs_top_dogs_of_instagram
Tennessee,Doug the Pug,@itsdougthepug,Instagram,3600000,"Nashville, TN",Pug,2.8,Yes,https://www.instagram.com/itsdougthepug/,2x People's Choice Winner & NYT Bestseller. May 20 is Doug the Pug Day in Nashville,https://en.wikipedia.org/wiki/Doug_the_Pug
Texas,Mae & Blu,@maehtxbully,Instagram,52000,"Houston, TX",American Staffordshire Terrier Mix,6.3,No,N/A,Houston-based American Staffordshire Terrier mix dogs,https://blog.tryfi.com/dogfluencers-maehtxbully/
Utah,Adventure Sibes,@adventuresibes,Instagram,70800,"Salt Lake City, UT",Siberian Huskies,4.9,No,N/A,"Dogs, photography, adventure, and lifestyle content",https://collabstr.com/top-influencers/dog
Washington,Rainy Bear,@rain_city_puppy,Instagram,75000,"Seattle, WA",Unknown,5.8,No,N/A,"Dog model, Dog Influencer, Dog Entrepreneur at Seattle City Talent",https://www.linkedin.com/in/rainy-bear-8a282119b/
Washington,Miso,@misocute_doodle,Instagram,65000,"Seattle, WA",Golden Doodle,6.1,No,N/A,Seattle's Famous Golden Doodle,https://blog.tryfi.com/dogfluencers-misocute_doodle/
Washington,Sir Charles Barkley,@sircharlesbarkley,Instagram,482000,"Seattle, WA",French Bulldog,3.9,Yes,N/A,Internet sensation who roots for all the Seattle sports teams,https://seattlerefined.com/lifestyle/meet-the-instagram-famous-dogs-of-seattle
West Virginia,Betsy Sweeny,@betsysweeny,Instagram,69800,"Wheeling, WV",Unknown,4.2,No,N/A,"Preservationist, yogi, dog mom rehabbing #themclainhouse in Wheeling, WV",https://influencers.feedspot.com/west_virginia_instagram_influencers/
Wisconsin,Louie Clark,@frenchie_louieclark,Instagram,23000,"Stevens Point, WI",French Bulldog,5.15,No,N/A,"Frenchie & Dog Mom Lisa creates lifestyle content including recipes, reviews, tips",https://thesocialcat.com/influencers/wisconsin
Wyoming,Toby,@toby_jh_avy_dog,Instagram,18000,"Jackson Hole, WY",Unknown,8.2,No,N/A,Avalanche Rescue Dog in training with Jackson Hole Ski Patrol,https://www.modash.io/find-influencers/united-states/wyoming/micro
